date,song,lyrics
1994,come-out-and-play-keep-em-separated,"  [Intro] You gotta keep 'em separated  [Verse 1] Like the latest fashion Like a spreading disease The kids are strappin' on their way to the classroom Gettin' weapons with the greatest of ease The gangs stake out their own campus locale And if they catch you slippin', then it's all over, pal If one guy's colors and the other's don't mix They're gonna bash it up, bash it up, bash it up, bash it up...  [Chorus] Hey! Man, you talkin' back to me? Take him out You gotta keep 'em separated Hey! Man, you disrespectin' me? Take him out You gotta keep 'em separated Hey, they don't pay no mind If you're under 18, you won't be doing any time Hey! Come out and play  [Verse 2] By the time you hear the siren It's already too late One goes to the morgue and the other to jail One guy's wasted and the other's a waste It goes down the same as the thousand before No one's getting smarter No one's learning the score Your never-ending spree of death and violence and hate Is gonna tie your own rope, tie your own rope, tie your own...  [Chorus] Hey! Man, you disrespectin' me? Take him out You gotta keep 'em separated Hey! Man, you talkin' back to me? Take him out You gotta keep 'em separated Hey, they don't pay no mind If you're under 18, you won't be doing any time Hey! Come out and play  [Verse 3] It goes down the same as the thousand before No one's getting smarter No one's learning the score Your never-ending spree of death and violence and hate Is gonna tie your own rope, tie your own rope, tie your own...  [Chorus] Hey! Man, you talkin' back to me? Take him out You gotta keep 'em separated Hey! Man, you disrespectin' me? Take him out You gotta keep 'em separated Hey, they don't pay no mind If you're under 18, you won't be doing any time Hey! Come out and play  "
1994,self-esteem,"  [Intro] La, la, la, la, la La, la, la, la, la  [Verse 1] I wrote her off for the tenth time today And practiced all the things I would say But she came over, I lost my nerve I took her back and made her dessert Now I know I'm being used That's okay, man, 'cause I like the abuse I know she's playing with me That's okay 'cause I've got no self-esteem  [Chorus] Oh hey yeah yeah Oh yeah yeah Oh yeah yeah Oh yeah yeah  [Verse 2] We make plans to go out at night I wait 'til two, then I turn out the light This rejection's got me so low If she keeps it up, I just might tell her so  [Chorus] Oh hey yeah yeah Oh yeah yeah Oh yeah yeah Oh yeah yeah  [Bridge] When she's saying, oh, that she wants only me Then I wonder why she sleeps with my friends When she's saying, oh, that I'm like a disease Then I wonder how much more I can spend Well, I guess I should stick up for myself But I really think it's better this way The more you suffer The more it shows you really care Right? Yeah, yeah, yeah  [Verse 3] Now I'll relate this little bit It happens more than I'd like to admit Late at night, she knocks on my door She's drunk again and looking to score Now I know I should say no But it's kind of hard when she's ready to go I may be dumb, but I'm not a dweeb I'm just a sucker with no self-esteem  [Chorus] Oh hey yeah yeah Oh yeah yeah Oh yeah yeah Oh yeah yeah  [Bridge] When she's saying, oh, that she wants only me Then I wonder why she sleeps with my friends When she's saying, oh, that I'm like a disease Then I wonder how much more I can spend Well, I guess I should stick up for myself But I really think it's better this way The more you suffer The more it shows you really care Right? Yeah, yeah, yeah  "
1994,gotta-get-away,"  [Verse 1] Getting edgy all the time Someone around me just a step behind It's kind of scary, the shape I'm in Walls are shaking and they're closing in Too fast or a bit too slow Paranoid of people and it's starting to show One guy that I can't shake Over my shoulder is a big mistake  [Chorus] Sitting on the bed Or lying wide awake There's demons in my head And it's more than I can take I think I'm on a roll But I think it's kind of weak Saying all I know is I gotta get away from me  [Verse 2] I tell you, something just ain't right My head is on loose but my shoes are tight Avoiding my friends ’cause they all bug Life is like a riddle and I'm really stumped If you reason, don't you know Your own preoccupation is where you'll go Being followed, I look around It's only my shadow creeping on the ground  [Chorus] Sitting on the bed Or lying wide awake There's demons in my head And it's more than I can take I think I'm on a roll But I think it's kind of weak Saying all I know is I gotta get away from me I gotta get away from me I gotta get away from me  [Chorus] Sitting on the bed Or lying wide awake There's demons in my head And it's more than I can take I think I'm on a roll But I think it's kind of weak Saying all I know is I gotta get away from me  I gotta get away from me I gotta get away from me I gotta get away from me...  "
1997,smash-it-up,"  [Chorus] We've been playing now for much too long And never gonna dance to a different song I'm going to scream and shout till my dying breath I'm going to smash it up till there's nothing left Ooh smash it up Smash it up smash it up Ooh smash it up Smash it up smash it up  [Verse] People call me weird, oh it's such a shame Maybe it's my clothes, must be to blame I don't even care if I look a mess Don't wanna be a sucker like all the rest  [Bridge] Smash it up And you can keep your crystal glasses Smash it up And you can see a very dead-way end Smash it up And you can stick a frothy lager Smash it up Up the fuck with your lesson  [Chorus]  [Outro] And everybody's smashing things down I said everybody's smashing things down  "
1997,gone-away,"  [Verse 1] Maybe in another life I could find you there Pulled away before your time I can't deal, it's so unfair  [Chorus] And it feels, and it feels like Heaven is so far away And it feels, yeah, it feels like The world has grown cold now that you've gone away  [Verse 2] Leaving flowers on your grave Show that I still care Black roses and ""Hail Mary's"" Can't bring back what's taken from me  [Pre-Chorus] I reach to the sky and call out your name And if I could trade, I would  [Chorus] And it feels, and it feels like Heaven is so far away And it stings, yeah, it stings now The world is so cold now that you've gone away  [Post-Chorus] Gone away, gone away Yeah, yeah, yeah, yeah, yeah ooh Yeah ooh, ooh-ooh-ooh, oh yeah  [Bridge] I'll save your soul, woah Yeah, yeah-oh  [Pre-Chorus] I reach to the sky and call out your name Oh, please let me trade, I would  [Chorus] And it feels, and it feels like Heaven is so far away And it feels, yeah, it feels like The world has grown cold now that you've gone away  [Post-Chorus] Gone away, gone away Yeah, yeah, yeah, yeah, yeah ooh Yeah ooh, ooh-ooh-ooh, oh yeah Yeah ooh, yeah ooh, ooh-ooh-ooh, oh yeah  "
1998,pretty-fly-for-a-white-guy,"  [Intro: Sample] Gunter glieben glauten globen  [Chorus: Chris Higgins, Nika Futterman & Heidi Villagran] Give it to me, baby! Uh huh, uh huh! Give it to me, baby! Uh huh, uh huh! Give it to me, baby! Uh huh, uh huh! And all the girlies say, I'm pretty fly for a white guy Uno, dos, tres, cuatro, cinco, cinco, seis  [Verse 1: Dexter] You know, it's kinda hard just to get along today Our subject isn't cool, but he fakes it anyway He may not have a clue and he may not have style But everything he lacks, well, he makes up in denial  [Refrain: Dexter] So don't debate, a player straight You know he really doesn't get it anyway Gotta play the field, and keep it real For you no way, for you no way So if you don't rate, just overcompensate At least that you'll know you can always go on Ricki Lake The world needs wannabes, ah Hey, hey, do that brand-new thing!  [Chorus: Chris Higgins, Nika Futterman & Heidi Villagran] Give it to me, baby! Uh huh, uh huh! Give it to me, baby! Uh huh, uh huh! Give it to me, baby! Uh huh, uh huh! And all the girlies say, I'm pretty fly for a white guy  [Verse 2: Dexter] He needs some cool tunes, not just any will suffice But they didn't have Ice Cube, so he bought Vanilla Ice Now cruisin' in his Pinto, he sees homies as he pass But if he looks twice, they're gonna kick his lily ass  [Refrain: Dexter] So don't debate, a player straight You know he really doesn't get it anyway Gotta play the field, and keep it real For you no way, for you no way So if you don't rate, just overcompensate At least that you'll know you can always go on Ricki Lake The world loves wannabes, ah Hey, hey, do that brand-new thing!  [Bridge: Dexter] Now he's gettin' a tattoo, yeah, he's gettin' ink done He asked for a 13 but they drew a 31 Friends say, he's tryin' too hard and he's not quite hip But in his own mind, he's the, he's the dopest trip  [Chorus: Chris Higgins, Nika Futterman & Heidi Villagran] Give it to me, baby! Uh huh, uh huh! Give it to me, baby! Uh huh, uh huh! Give it to me, baby! Uh huh, uh huh! Uno, dos, tres, cuatro, cinco, cinco, seis  [Outro: Dexter] So don't debate, a player straight You know he really doesn't get it anyway Gotta play the field, and keep it real For you no way, for you no way So if you don't rate, just overcompensate At least that you'll know you can always go on Ricki Lake The world needs wannabes, ah The world loves wannabes, ah Let's get some more wannabes, ah Hey, hey, do that brand-new thing!  "
1999,why-dont-you-get-a-job,"  [Verse 1] My friend's got a girlfriend Man, he hates that bitch He tells me every day He says, ""Man, I really gotta lose my chick In the worst kind of way.""  She sits on her ass He works his hands to the bone To give her money every payday But she wants more dinero just to stay at home Well, my friend, you gotta say  [Chorus] ""I won't pay, I won't pay ya, no way Na-na, why don't you get a job?"" Say, ""No way,"" say, ""No way-ya, no way Na-na, why don't you get a job?""  [Verse 2] I guess all his money, well, it isn't enough To keep her bill collectors at bay I guess all his money, well, it isn't enough ’Cause that girl's got expensive taste  [Chorus] ""I won't pay, I won't pay ya, no way Na-na, why don't you get a job?"" Say, ""No way,"" say, ""No way-ya, no way Na-na, why don't you get a job?""  [Bridge] Well, I guess it ain't easy doing nothing at all But hey man, free rides just don't come along Every day  Let me tell you about my other friend now  [Verse 3] My friend's got a boyfriend Man, she hates that dick She tells me every day He wants more dinero just to stay at home Well, my friend, you gotta say  [Chorus] ""I won't pay, I won't pay ya, no way Na-na, why don't you get a job?"" Say, ""No way,"" say, ""No way-ya, no way Na-na, why don't you get a job?""  [Outro] ""I won't give you no money, I always pay Na-na, why don't you get a job?"" Say, ""No way,"" say, ""No way-ya, no way Na-na, why don't you get a job?""  Hey! That's something everyone can enjoy  "
1998,the-kids-arent-alright,"  [Verse 1] When we were young the future was so bright (Woah) The old neighborhood was so alive (Woah) And every kid on the whole damn street (Woah) Was gonna make it big and not be beat Now the neighborhood's cracked and torn (Woah) The kids are grown up but their lives are worn (Woah) How can one little street Swallow so many lives?  [Chorus] Chances thrown, nothing's free Longing for what used to be Still it's hard, hard to see Fragile lives, shattered dreams (Go!)  [Verse 2] Jamie had a chance, well she really did (Woah) Instead she dropped out and had a couple of kids (Woah) Mark still lives at home 'cause he's got no job (Woah) He just plays guitar and smokes a lot of pot Jay committed suicide (Woah) Brandon OD'd and died (Woah) What the hell is going on? The cruelest dream, reality  [Chorus] Chances thrown, nothing's free Longing for what used to be Still it's hard, hard to see Fragile lives, shattered dreams (Go!)  [Outro] Chances thrown, nothing's free Longing for what used to be Still it's hard, hard to see Fragile lives, shattered dreams  "
1998,shes-got-issues,"  [Verse 1] I'm seeing this girl and she just might be out of her mind Well, she's got baggage and it's of the emotional kind She talks about closure and that validation bit I don't mean to be insensitive, but I really hate that shit  [Chorus 1] And I say yeah, yeah Oh man, she's got issues And I'm going to pay Yeah, yeah She thinks she's the victim And she takes it all out on me  [Verse 2] Now I know she'll feel abandoned If I don't stay over late And I know she's afraid to commit But it's only our second date  [Chorus 1] And I say yeah, yeah Oh man, she's got issues And I'm going to pay Yeah, yeah She thinks she's the victim And she takes it all out on me  [Chorus 2] I don't know why you're messed up I don't know why your whole life is a chore Just do me a favor And check your baggage at the door  [Verse 3] Now she talks about her ex Nonstop, but I don't mind But when she calls out his name in bed That's where I draw the line You told me a hundred times how your father left and he's gone But I wish you wouldn't call me 'daddy' when we're gettin' it on  [Chorus 1] And I say yeah, yeah Oh man, she's got issues And I'm going to pay Yeah, yeah She thinks she's the victim And she takes it all out on me  [Bridge] Yeah, yeah My God, she's got issues And I'm going to pay Going to pay [x5]  [Verse 4] If you think I'm controlling Then why do you follow me around If you're not co-dependent Then why do you let others drag you down  [Chorus 2] I don't know why you're messed up I don't know why your whole life is a chore Just do me a favor And check your baggage at the door  "
2000,original-prankster,"  [Intro] You can do it!  [Verse 1: Offspring] Until the break of dawn - life, life Cannot go by the letter - time, time Prozac can make it better - noise, noise Any kind will do; Can you feel it slip away when it's all on you (hey, hey) Crime, crime - rockin' like Janet Reno - time time Eighteen and life in Chino - Freud, Freud All along it's true; Well you'll see there comes a day catches up to you, yeah!  [Chorus: Offspring and Redman] Knock down the walls - it's alive in you! Knock down the place - you're alone, it's true! Knock down the walls - it's alive in you! You gotta keep your head up through it all You're gonna bust out on it (Original Prankster) Break out, yeah! (Original, yeah) Bust out on it (Original Prankster) You never stop now, stop now That's what the main man say!  [Interlude] You can do it!  [Verse 2: Offspring] You know it smells like shit - God damn! Tag Team the Double Header Son of Sam; fire always makes it better Navigate with style and aplomb Cause wherever you're at, that's the tip youse on (hey, hey) Lies lies - says he's down in the Bahamas - tries tries Bangin' little hoochie mamas - no way None of this is true Well you'll see there comes a day when the joke's on you yeah!  [Chorus] Knock down the walls - it's alive in you! Knock down the place - you're alone, it's true! Knock down the walls - it's alive in you! You gotta keep your head up through it all You're gonna bust out on it (Original Prankster) Break out, yeah! (Original, yeah) Bust out on it (Original Prankster) You never stop now, stop now That's what the main man say!  [Interlude] (Hey) You can do it  [Bridge] Dime, dime - so good to see ya Nine, nine - don't wanna be ya[x2] Crime, crime - fine sensimilla[x3] Well you'll see there comes a day catches up to you, yeah!  [Chorus] Knock down the walls - it's alive in you! Knock down the place - you're alone, it's true! Knock down the walls - it's alive in you! You gotta keep your head up through it all You're gonna bust out on it (Original Prankster) Break out, yeah! (Original, yeah) Bust out on it (Original Prankster) You never stop now, stop now Stop now stop now that's what the main man say!  "
2000,want-you-bad,"  [Verse 1] If you could only read my mind You would know that things between us ain't right I know your arms are open wide But you're a little on the straight side, I can't lie  [Pre-Chorus 1] Your one vice Is you're too nice Come around now, can't you see?  [Chorus 1] I want you, all tattooed I want you bad Complete me, mistreat me Want you to be bad, bad, bad, bad, bad  [Verse 2] If you could only read my mind You would know that I've been waiting So long For someone almost just like you But with attitude, I'm waiting So come on  [Pre-Chorus 2] Get out of clothes time Grow out those highlights Come around now, can't you see?  [Chorus 2] I want you, in a vinyl suit I want you bad Complicated, x-rated I want you bad, bad, bad, bad, bad Bad  [Bridge] Don't get me wrong I know you're only being good But that's what's wrong I guess I just misunderstood  [Final Chorus] I want you, all tattooed I want you bad Complicated, x-rated I want you bad I mean it, I need it I want you bad, bad, bad, bad, bad Bad, really, really bad  "
2000,million-miles-away,"  [Verse 1] There was a time, looking through myself Wanting to pretend If I escaped, I could fill myself I don't think you can Been far and wide But that hole inside Never really leaves When I went away, what I really left Left behind was me  [Pre-Chorus 1] It's telling me To be on my way Home  [Chorus] O-o-oh, o-o-oh Million miles away O-o-oh, o-o-oh Million miles away I can't stay, I can't stay O-o-oh, o-o-oh A million miles away  [Verse 2] Each passing day, every passing face Seems like such a blur I long to be Home, silently Lying next to her Just to get back, by her side is all All I need to be I went away But what I really left Left behind was me  [Pre-Chorus 2] I need to be Getting on my way Home  [Chorus] O-o-oh, o-o-oh Million miles away O-o-oh, o-o-oh Million miles away I can't take, I can't take O-o-oh, o-o-oh A million miles away  [Pre-Chorus 1]  [Chorus] x8 I can't take, I can't take Million miles away  "
2005,defy-you,  [Verse 1] You may push me around But you cannot win You may throw me down But I'll rise again The more you say The more I defy you So get out of my face  [Chorus 1] You cannot stop us You cannot bring us down Never give up We go on and on You'll never break us Never bring us down We are alive!  [Verse 2] The wind blows I'll lean into the wind My anger grows I'll use it to win The more you say The more I defy you So get out of my way  [Chorus 2] All my will All my strength Rip it out Start again  [Chorus 1]  [Chorus 2][x4]  [Bridge] Can you leave it all behind?[x2] Cause you can't go back You can't go back  [Chorus 1]  [Outro] We are alive Oh no  
